adm_level,date,count_ovi,mean_ovi,error_ovi,error_relative_ovi
"NCR, Fourth District",2014-10-01,155.0,15.920451612903223,1.3286564433945538,0.08345595185991476
"NCR, Fourth District",2014-11-01,119.0,15.330168067226893,1.6531266465912775,0.10783486778108853
"NCR, Fourth District",2014-12-01,46.0,16.467391304347828,3.2459851955709893,0.19711593266833727
"NCR, Fourth District",2015-01-01,45.0,14.109555555555557,2.3261034223380723,0.1648601483710224
"NCR, Fourth District",2015-02-01,59.0,10.440677966101696,1.8299231936952207,0.1752686175779513
"NCR, Fourth District",2015-03-01,25.0,7.36,2.108178360575784,0.2864372772521446
"NCR, Fourth District",2015-04-01,5.0,0.0,0.0,
"NCR, Fourth District",2015-05-01,4.0,0.0,0.0,
"NCR, Fourth District",2015-06-01,15.0,7.674666666666667,2.324969938475509,0.3029408363197762
"NCR, Fourth District",2015-07-01,98.0,16.94622448979592,2.098063849902952,0.12380715546204937
"NCR, Fourth District",2015-08-01,161.0,16.526273291925467,1.6912252083314943,0.10233554646332794
"NCR, Fourth District",2015-09-01,151.0,16.70516556291391,1.6624396211878012,0.09951650074504376
"NCR, Fourth District",2015-10-01,107.0,9.958317757009347,1.4207696752778791,0.14267165498689213
"NCR, Fourth District",2015-11-01,146.0,4.524794520547946,0.9056786106137182,0.20015905838394665
"NCR, Fourth District",2015-12-01,40.0,9.524500000000002,2.4297139222036,0.2551014669750223
"NCR, Fourth District",2016-01-01,118.0,5.6793220338983055,1.1819971251249723,0.20812292700958984
"NCR, Fourth District",2016-02-01,47.0,11.134042553191488,2.464158021342968,0.22131746035375408
"NCR, Fourth District",2016-03-01,44.0,9.956136363636363,2.419368262770201,0.2430027245917065
"NCR, Fourth District",2016-04-01,9.0,3.981111111111111,0.5801520542372198,0.14572616489352438
"NCR, Fourth District",2016-05-01,10.0,4.241,0.5093710828070238,0.12010636236902236
"NCR, Fourth District",2016-06-01,18.0,3.304444444444444,0.49413299942912986,0.1495358774331597
"NCR, Fourth District",2016-07-01,27.0,4.852222222222223,0.9952230669068721,0.20510665450336266
"NCR, Fourth District",2016-08-01,19.0,5.966842105263157,1.3705036890022373,0.22968660219672324
"NCR, Fourth District",2016-09-01,33.0,6.12090909090909,0.9671195256928562,0.1580025959100166
"NCR, Fourth District",2016-10-01,27.0,7.700370370370371,1.4104152538650137,0.1831620020891509
"NCR, Fourth District",2016-11-01,21.0,5.2904761904761894,0.9016660005254816,0.17043191729104518
"NCR, Fourth District",2016-12-01,13.0,5.502307692307691,1.1485989169450246,0.20874857990053575
"NCR, Fourth District",2017-01-01,20.0,4.423500000000001,0.7984059979108372,0.1804919176920622
"NCR, Fourth District",2017-02-01,15.0,4.117333333333333,0.9170723789037311,0.22273454798503833
"NCR, Fourth District",2017-03-01,15.0,4.462666666666667,0.8226101907501058,0.18433153363088714
"NCR, Fourth District",2017-04-01,4.0,2.915,0.5079923719899735,0.17426839519381596
"NCR, Fourth District",2017-05-01,1.0,7.09,0.0,0.0
"NCR, Fourth District",2017-06-01,6.0,4.441666666666666,3.444241907127723,0.7754390785278176
"NCR, Fourth District",2017-07-01,4.0,10.6275,2.480965978706682,0.23344775146616625
"NCR, Fourth District",2017-08-01,0.0,,,
"NCR, Fourth District",2017-09-01,0.0,,,
"NCR, Fourth District",2017-10-01,0.0,,,
"NCR, Fourth District",2017-11-01,0.0,,,
"NCR, Fourth District",2017-12-01,0.0,,,
"NCR, Fourth District",2018-01-01,0.0,,,
"NCR, Fourth District",2018-02-01,0.0,,,
"NCR, Fourth District",2018-03-01,0.0,,,
"NCR, Fourth District",2018-04-01,0.0,,,
"NCR, Fourth District",2018-05-01,0.0,,,
"NCR, Fourth District",2018-06-01,0.0,,,
"NCR, Fourth District",2018-07-01,0.0,,,
"NCR, Fourth District",2018-08-01,0.0,,,
"NCR, Fourth District",2018-09-01,0.0,,,
"NCR, Fourth District",2018-10-01,0.0,,,
"NCR, Fourth District",2018-11-01,0.0,,,
"NCR, Fourth District",2018-12-01,0.0,,,
"NCR, Fourth District",2019-01-01,0.0,,,
"NCR, Fourth District",2019-02-01,0.0,,,
"NCR, Fourth District",2019-03-01,0.0,,,
"NCR, Fourth District",2019-04-01,0.0,,,
"NCR, Fourth District",2019-05-01,0.0,,,
"NCR, Fourth District",2019-06-01,0.0,,,
"NCR, Fourth District",2019-07-01,0.0,,,
"NCR, Fourth District",2019-08-01,0.0,,,
"NCR, Fourth District",2019-09-01,0.0,,,
"NCR, Fourth District",2019-10-01,0.0,,,
"NCR, Fourth District",2019-11-01,0.0,,,
"NCR, Fourth District",2019-12-01,0.0,,,
"NCR, Third District",2012-01-01,0.0,,,
"NCR, Third District",2012-02-01,0.0,,,
"NCR, Third District",2012-03-01,0.0,,,
"NCR, Third District",2012-04-01,0.0,,,
"NCR, Third District",2012-05-01,0.0,,,
"NCR, Third District",2012-06-01,75.0,24.74626666666667,2.5244581079129444,0.1020136953148331
"NCR, Third District",2012-07-01,128.0,31.537890624999992,2.0975111322368987,0.06650765446482358
"NCR, Third District",2012-08-01,65.0,38.44969230769231,2.1175769112064926,0.05507396247181012
"NCR, Third District",2012-09-01,87.0,36.018160919540236,2.4033548772165436,0.06672619633704557
"NCR, Third District",2012-10-01,104.0,36.868942307692315,2.0449730132615414,0.05546600703093344
"NCR, Third District",2012-11-01,111.0,32.41072072072072,2.264200894998026,0.06985962806900756
"NCR, Third District",2012-12-01,85.0,29.69058823529411,2.6082078077192232,0.08784628270243452
"NCR, Third District",2013-01-01,20.0,12.961999999999998,1.7783154388353049,0.13719452544632812
"NCR, Third District",2013-02-01,0.0,,,
"NCR, Third District",2013-03-01,0.0,,,
"NCR, Third District",2013-04-01,0.0,,,
"NCR, Third District",2013-05-01,0.0,,,
"NCR, Third District",2013-06-01,5.0,17.588,4.812307055872474,0.27361309164614933
"NCR, Third District",2013-07-01,128.0,20.270000000000003,1.7678305776210212,0.08721413801781061
"NCR, Third District",2013-08-01,82.0,27.728292682926828,2.850049723544647,0.10278489758222696
"NCR, Third District",2013-09-01,91.0,27.853406593406593,2.537449325899257,0.09110014307908453
"NCR, Third District",2013-10-01,92.0,22.838152173913045,2.49039753646579,0.10904549183757761
"NCR, Third District",2013-11-01,90.0,21.527333333333328,2.244958449394148,0.10428409383702032
"NCR, Third District",2013-12-01,70.0,21.79857142857143,2.444192878638741,0.11212628711233491
"NCR, Third District",2014-01-01,74.0,20.458378378378374,2.4379787969901763,0.11916774398731313
"NCR, Third District",2014-02-01,77.0,25.959350649350654,2.807978617126666,0.10816829184426864
"NCR, Third District",2014-03-01,30.0,20.937,3.4595089616238255,0.16523422465605508
"NCR, Third District",2014-04-01,0.0,,,
"NCR, Third District",2014-05-01,0.0,,,
"NCR, Third District",2014-06-01,11.0,9.409090909090908,4.0896835446176585,0.43465235739897823
"NCR, Third District",2014-07-01,99.0,26.439999999999998,2.102075972835398,0.07950362983492429
"NCR, Third District",2014-08-01,153.0,27.26725490196078,1.8259080165453012,0.06696339705299784
