adm_level,date,NASA_FLDAS_NOAH01_C_GL_M_V001_Tair_f_tavg,.DS_Store,MODIS_006_MYD13A1_EVI,JAXA_GPM_L3_GSMaP_v6_reanalysis_hourlyPrecipRate,JAXA_GPM_L3_GSMaP_v6_operational_hourlyPrecipRate,MODIS_006_MOD11A1_LST_Day_1km,NASA_FLDAS_NOAH01_C_GL_M_V001_Wind_f_tavg,NASA_FLDAS_NOAH01_C_GL_M_V001_Qair_f_tavg,MODIS_006_MOD11A1_LST_Night_1km
Masbate,2015-02-01,297.86492919921875,,4429.5,,11.515931965783238,15059.0,6.681797504425049,0.015051077120006084,14747.0
Masbate,2015-03-01,298.6617431640625,,3937.0,,1.3070893781259656,15175.0,6.382241249084473,0.015093897469341755,14773.5
Masbate,2015-04-01,300.0290832519531,,3721.0,,2.3720056219026446,15310.0,5.6037445068359375,0.01653585582971573,14843.0
Masbate,2015-05-01,301.5309753417969,,3591.0,,5.949424432590604,15382.5,3.7418830394744873,0.01653168350458145,14891.0
Masbate,2015-06-01,301.24249267578125,,3447.5,,142.1567542986013,15323.0,3.419567584991455,0.017720770090818405,14906.0
Masbate,2015-07-01,300.4781494140625,,4597.0,,158.61007123580202,15121.5,6.125937461853027,0.018033672124147415,0.0
Masbate,2015-08-01,300.66668701171875,,5410.0,,89.07791039673612,15128.0,5.2195305824279785,0.018044985830783844,14828.0
Masbate,2015-09-01,300.7312927246094,,5582.5,,140.81255855457857,15094.0,4.531389236450195,0.017989646643400192,14842.0
Masbate,2015-10-01,300.6917724609375,,5515.0,,98.05162043031305,15145.5,5.591504096984863,0.017714478075504303,14828.0
Masbate,2015-11-01,300.093994140625,,5037.5,,46.510662648361176,15074.0,6.6592841148376465,0.017813323065638542,14833.0
Masbate,2015-12-01,299.2890625,,4703.0,,188.97971183480695,15071.0,6.813421249389648,0.01737813837826252,14801.5
Masbate,2016-01-01,298.8033447265625,,4382.5,,5.978259745519608,15110.0,6.508296012878418,0.016362497583031654,14790.0
Masbate,2016-02-01,298.47247314453125,,4591.0,,9.558904288336635,14975.0,6.980910301208496,0.016286540776491165,14757.0
Masbate,2016-03-01,299.3189697265625,,4080.0,,0.0,15197.0,5.415745735168457,0.01607385277748108,14823.5
Masbate,2016-04-01,300.76806640625,,3679.0,,0.14475004514679313,15358.0,5.371753692626953,0.016838813200592995,14890.0
Masbate,2016-05-01,301.57904052734375,,3578.0,,33.11014607967809,15429.0,4.4113688468933105,0.01765112765133381,
Masbate,2016-06-01,301.4901123046875,,4747.0,,118.69239635579288,15142.0,3.3727622032165527,0.018050678074359894,14895.0
Masbate,2016-07-01,300.864990234375,,5321.0,,327.98684518551454,15198.0,3.9000961780548096,0.017713837325572968,14858.0
Masbate,2016-08-01,300.7290954589844,,5277.5,,170.1170093351975,15132.0,7.04598331451416,0.01872595213353634,0.0
Masbate,2016-09-01,300.5760498046875,,4553.5,,163.7389093474485,15154.5,4.5219316482543945,0.01841108873486519,14881.0
Masbate,2016-10-01,300.316650390625,,4980.5,,439.73363201646134,15040.5,4.92961311340332,0.018606510013341904,14839.0
Masbate,2016-11-01,299.7855224609375,,5616.0,,379.31329859327525,15046.5,5.967985153198242,0.018016185611486435,14795.0
Masbate,2016-12-01,299.5172424316406,,5043.5,,241.41459134267643,14943.0,6.163358211517334,0.018221713602542877,14756.5
Masbate,2017-01-01,298.4677734375,,4905.0,,239.87473637564108,14959.0,7.882616996765137,0.01720884069800377,14723.0
Masbate,2017-02-01,298.03057861328125,,4537.5,,20.964010225608945,14994.0,7.2959794998168945,0.01591666415333748,14730.0
Masbate,2017-03-01,298.7860412597656,,4629.0,,68.49797907285392,15112.0,6.297343730926514,0.01650325395166874,14786.0
Masbate,2017-04-01,300.14422607421875,,4476.0,,12.975325203035027,15218.5,5.060054779052734,0.016996124759316444,14842.0
Masbate,2017-05-01,301.404052734375,,,,71.44729523686692,15265.5,3.8541407585144043,0.018497683107852936,14865.5
Masbate,2017-06-01,301.41717529296875,,4921.0,,122.59145761048421,15139.5,3.1321215629577637,0.018083151429891586,14893.0
Masbate,2017-07-01,300.5003662109375,,4253.0,,271.2467269478366,15080.0,4.740638732910156,0.01786719635128975,0.0
Masbate,2017-08-01,300.92694091796875,,5264.5,,209.75662682112306,15085.0,4.5844573974609375,0.01815022900700569,14832.5
Masbate,2017-09-01,300.7957763671875,,5199.5,,300.2136128945276,15068.5,3.7424063682556152,0.0181486327201128,14854.5
Masbate,2017-10-01,300.60235595703125,,5219.0,,218.09072281094268,15066.0,4.763994216918945,0.018017344176769257,14822.0
Masbate,2017-11-01,300.1236572265625,,5278.0,,204.18353637261316,15010.0,6.335975170135498,0.018597504124045372,14835.5
Masbate,2017-12-01,299.70587158203125,,4460.5,,532.8542445083149,15001.5,6.693613052368164,0.0184074304997921,14799.5
Masbate,2018-01-01,298.91558837890625,,4786.0,,522.6391332531348,14998.0,6.892524719238281,0.01790689304471016,14760.5
Masbate,2018-02-01,298.9005126953125,,5037.5,,245.82867884682491,14991.5,6.302485466003418,0.01700085960328579,14783.0
Masbate,2018-03-01,299.2137756347656,,5001.0,,18.674756770953536,15069.5,6.424935340881348,0.016519153490662575,14811.0
Masbate,2018-04-01,300.1246643066406,,4887.0,,2.92103179031983,15164.0,5.5891523361206055,0.017246907576918602,14840.0
Masbate,2018-05-01,301.1197509765625,,4591.0,,35.172557964455336,15249.5,4.347765922546387,0.018273962661623955,14879.0
Masbate,2018-06-01,300.95428466796875,,4739.5,,155.5175305576995,15167.5,4.943643569946289,0.018065400421619415,14823.5
Masbate,2018-07-01,300.4997863769531,,5085.0,,109.51107308967039,14942.0,6.656035423278809,0.018435511738061905,0.0
Masbate,2018-08-01,300.4801330566406,,5324.5,,73.2832818753086,15182.0,6.658988952636719,0.01802394911646843,14878.5
Masbate,2018-09-01,300.29559326171875,,5380.5,,159.87908658664674,15061.0,5.778092384338379,0.018269754946231842,14803.0
Masbate,2018-10-01,300.43634033203125,,5258.5,,26.541396557353437,15113.5,4.681153297424316,0.017363401129841805,14838.0
