adm_level,date,JAXA_GPM_L3_GSMaP_v6_operational_hourlyPrecipRateGC,MODIS_006_MOD11A1_LST_Day_1km,MODIS_006_MOD11A1_LST_Night_1km,MODIS_006_MYD13A1_EVI,NASA_FLDAS_NOAH01_C_GL_M_V001_Qair_f_tavg,NASA_FLDAS_NOAH01_C_GL_M_V001_Rainf_f_tavg,NASA_FLDAS_NOAH01_C_GL_M_V001_SoilMoi00_10cm_tavg,NASA_FLDAS_NOAH01_C_GL_M_V001_SoilTemp00_10cm_tavg,NASA_FLDAS_NOAH01_C_GL_M_V001_Tair_f_tavg,NASA_FLDAS_NOAH01_C_GL_M_V001_Wind_f_tavg
Agusan del Norte,2016-09-01,0.1730273,15137.764,14747.159,4475.04,0.01659398,9.231138e-05,0.40175858,297.90414,298.42224,2.5137606
Agusan del Norte,2016-10-01,0.19005373,15078.723,14712.966,3866.5713,0.016776206000000002,0.00012741909,0.42040467,297.4874,298.25097999999997,2.9053466
Agusan del Norte,2016-11-01,0.24787535,15052.149,14706.403999999999,4892.252,0.01694814,0.00018350863,0.42940405,297.14102,297.66776,3.6423018
Agusan del Norte,2016-12-01,0.20435473,14979.287,14654.461000000001,3961.3418,0.017118732,0.00017585541,0.42908683,297.25705,297.90994,3.2547502999999995
Agusan del Norte,2017-01-01,0.48873249999999996,14911.188,14517.48,3034.7324,0.017104007,0.00033837266000000005,0.43772256,296.57236,297.04247999999995,4.4660416
Agusan del Norte,2017-02-01,0.30287072,14891.643,14722.7295,4452.005999999999,0.01616914,0.00023950865000000002,0.4302154,296.32855,296.50452,4.5980906
Agusan del Norte,2017-03-01,0.28395325,15038.8,14707.026000000002,4846.7046,0.016384574,0.00020657356,0.42742947,296.81876,297.18723,3.9046457
Agusan del Norte,2017-04-01,0.16256887,15045.11,14739.502,4832.6216,0.016646348000000002,0.00014107657,0.41728820000000005,297.9719,298.24917999999997,3.4093456
Agusan del Norte,2017-05-01,0.18357135,15068.921999999999,14768.158000000001,4457.174,0.017773096999999998,8.772165999999999e-05,0.41614857,298.30582000000004,298.80823,3.0066853
Agusan del Norte,2017-06-01,0.15321639,15043.3955,14723.096000000001,4748.0244,0.016437165,8.291457e-05,0.41763958,297.94827000000004,298.89542,2.2865076
Agusan del Norte,2017-07-01,0.14626324,15071.065,14623.7,4373.1406,0.016082113999999998,0.00010184417,0.4255898,297.38687000000004,298.3456,2.622272
Agusan del Norte,2017-08-01,0.09497776,15072.395,14749.37,4952.4614,0.016460393,7.788801e-05,0.4150423,297.92312999999996,298.83023,2.4096248
Agusan del Norte,2017-09-01,0.14687048,15050.638,14717.027,5060.6123,0.016543275,8.175034999999999e-05,0.41965857,297.96692,298.7212,2.240307
Agusan del Norte,2017-10-01,0.17529452,15046.223999999998,14744.917,4651.0415,0.016830755,0.00011853711000000001,0.4254272,297.58597000000003,298.46277000000003,3.4090519999999995
Agusan del Norte,2017-11-01,0.20911567,14996.152,14729.332,5062.99,0.017501067,0.00015687754999999998,0.42795740000000004,297.5664,298.1321,3.6378632000000004
Agusan del Norte,2017-12-01,0.23780166,15005.841999999999,14681.858999999999,5226.188,0.016909545,0.00017429271,0.42593400000000003,297.26102000000003,297.88306,3.9934672999999994
Agusan del Norte,2018-01-01,0.34361017,14940.676000000001,14722.163,4540.413,0.01719561,0.0002397627,0.43144932,296.90297999999996,297.41232,3.6646833
Agusan del Norte,2018-02-01,0.27072048,14967.543,14675.688,5296.8623,0.016685242,0.00020128339,0.4257555,296.98917,297.44205,4.018254799999999
Agusan del Norte,2018-03-01,0.079930075,14966.608,14698.768,5300.6094,0.01608096,7.8988094e-05,0.40870333,297.36746,297.6348,4.1312323
Agusan del Norte,2018-04-01,0.13225287,15003.329,14719.55,4757.6196,0.016721094,6.563943e-05,0.40390348,298.0756,298.3064,3.5361282999999997
Agusan del Norte,2018-05-01,0.09579326,15074.858999999999,14747.021999999999,5187.335999999999,0.016801393,6.527707e-05,0.39793920000000005,298.51923,299.11947999999995,2.6497585999999997
Agusan del Norte,2018-06-01,0.11229704,15118.498,14745.826000000001,4638.2188,0.016566,8.354014000000001e-05,0.41248032,297.80255,298.66736000000003,2.6343662999999995
Agusan del Norte,2018-07-01,0.09781537,15051.024,14627.487,5039.406,0.016630767,5.9120649999999994e-05,0.40834904,297.6428,298.62363,2.9849882
Agusan del Norte,2018-08-01,0.06256428,15124.232,14757.218,5233.3906,0.016094169,6.179902e-05,0.40532514,297.52087,298.74207,2.6765385
Agusan del Norte,2018-09-01,0.17513682,15047.641000000001,14712.59,5042.4214,0.016527438999999998,7.350048e-05,0.40786794,297.6081,298.34753,3.4896
Agusan del Norte,2018-10-01,0.08498888,15066.872,14753.306,5045.965,0.016404256000000002,5.243613500000001e-05,0.40193948,298.0742,298.6636,2.6808186000000003
Agusan del Norte,2018-11-01,0.20339645,14979.358,14675.191,4818.9917,0.017141642,0.00010817378000000001,0.4124372,297.7328,297.96036000000004,3.9120616999999998
Agusan del Norte,2018-12-01,0.19629209,14931.658000000001,14706.773000000001,4695.72,0.017360605,0.00015026075,0.41827533,297.4091,297.67,4.231950299999999
Agusan del Sur,2012-06-01,0.11917953,15027.146999999999,14754.591,5271.4214,0.016022675,0.00010662799,0.42434659999999996,297.76727,299.02655,2.6400375
Agusan del Sur,2012-07-01,0.16438377,15031.79,14668.23,5193.689,0.016322961,0.00013004545,0.42873347,297.67026,298.59808,2.6761508
